nombre,club,escudo,tab
Nouhou Tolo,Seattle Sounders,seattle_sounders_logo.png,libres
Brandt Bronico,Charlotte,charlotte_logo.png,libres
Eduard Atuesta,Orlando City,orlando_city_logo.png,libres
César Araújo,Orlando City,orlando_city_logo.png,libres
Sebastián Berhalter,Vancouver Whitecaps,vancouver_whitecaps_logo.png,libres
Will Trapp,Minnesota United,minnesota_united_logo.png,libres
Ian Fray,Inter Miami,inter_miami_logo.png,libres
Franco Escobar,Houston Dynamo,houston_dynamo_logo.png,libres
Nathan Harriel,Philadelphia Union,philadelphia_union_logo.png,libres
Griffin Dorsey,Houston Dynamo,houston_dynamo_logo.png,libres
Elías Báez,San Lorenzo,san_lorenzo_logo.png,sub22
Alexandro Maidana,Guaraní,guarani_logo.png,sub22
Lucas Quintana,Cerro Porteño,cerro_porteno_logo.png,sub22
Simón García,Atlético Nacional,atletico_nacional_logo.png,sub22
Tomás Jacob,Necaxa,necaxa_logo.png,sub22
Kevin Jappert,Barracas Central,barracas_central_logo.png,sub22
Roman Gómez,Estudiantes,estudiantes_lp_logo.png,sub22
Vicente Álvarez,Unión San Felipe,union_san_felipe_logo.png,sub22
Gustavo Herrera,Saprissa,saprissa_logo.png,sub22
